City,State/Region,Country,Zip Code,MMI,Responses,Distance,Latitude,Longitude
Fajardo,PR,United States of America,00738,II,1,1384 km,18.3166549582,-65.6706288279
Bayamon,PR,United States of America,00956,I,1,1331 km,18.3222476453,-66.1698318091
New York,NY,United States of America,10019,III,1,2410 km,40.7654423025,-73.9871745365
New York,NY,United States of America,10024,I,1,2413 km,40.7891917656,-73.9708192089
New York,NY,United States of America,10036,III,1,2409 km,40.7593087733,-73.9897698332
Staten Island,NY,United States of America,10310,III,1,2393 km,40.632782956,-74.1164943986
Middletown,NY,United States of America,10940,II,1,2476 km,41.4485732303,-74.4707326597
Commack,NY,United States of America,11725,I,1,2432 km,40.8405442484,-73.2807242449
Levittown,NY,United States of America,11756,I,1,2415 km,40.7254453652,-73.5166556125
Oyster Bay,NY,United States of America,11771,II,1,2430 km,40.866787673,-73.5273483951
Orient,NY,United States of America,11957,III,1,2488 km,41.1513804098,-72.2600179247
Austerlitz,NY,United States of America,12017,II,1,2588 km,42.3183116408,-73.4531217627
Cornwall on Hudson,NY,United States of America,12520,I,1,2482 km,41.4366708714,-74.0140964066
New Paltz,NY,United States of America,12561,III,1,2516 km,41.754800752,-74.0961367983
Geneseo,NY,United States of America,14454,II,1,2593 km,42.7955673351,-77.7717454724
Albion,PA,United States of America,16401,III,1,2494 km,41.8796992888,-80.3968990948
Havertown,PA,United States of America,19083,II,1,2303 km,39.9771546938,-75.3119362616
Exton,PA,United States of America,19341,I,1,2305 km,40.0412648322,-75.6378717758
Washington,DC,United States of America,20008,III,1,2169 km,38.9364685872,-77.059167965
Washington,DC,United States of America,20024,II,2,2163 km,38.8764639784,-77.0257515359
Ashburn,VA,United States of America,20147,I,1,2178 km,39.0405159938,-77.480693297
Suitland,MD,United States of America,20746,III,1,2159 km,38.8371720126,-76.9192133125
Bethesda,MD,United States of America,20814,I,1,2176 km,39.0045372152,-77.1022201038
Gaithersburg,MD,United States of America,20878,I,1,2187 km,39.1133575475,-77.2497560605
Baltimore,MD,United States of America,21202,I,1,2213 km,39.2971800154,-76.6077405647
Arlington,VA,United States of America,22201,I,1,2163 km,38.8866481508,-77.0949159698
High Point,NC,United States of America,27262,II,1,1837 km,35.9616953454,-80.0404677702
Raleigh,NC,United States of America,27603,I,1,1800 km,35.6644373328,-78.6625922482
Leland,NC,United States of America,28451,II,1,1644 km,34.2457661163,-78.111135459
Myrtle Beach,SC,United States of America,29575,I,1,1574 km,33.6289399284,-78.9729077684
Rock Hill,SC,United States of America,29730,I,1,1728 km,34.8864897425,-81.0230635421
Norcross,GA,United States of America,30092,I,1,1702 km,33.9721670114,-84.2353221454
Acworth,GA,United States of America,30101,II,1,1725 km,34.0434933115,-84.7159009407
Atlanta,GA,United States of America,30326,I,1,1693 km,33.8495452335,-84.3625050012
Atlanta,GA,United States of America,30336,V,1,1688 km,33.7393656942,-84.5654212785
Athens,GA,United States of America,30601,II,1,1678 km,33.998208341,-83.346696378
Madison,GA,United States of America,30650,II,1,1638 km,33.5910691315,-83.4618081013
Macon,GA,United States of America,31201,II,1,1563 km,32.8272733454,-83.6248474433
Columbus,GA,United States of America,31901,I,1,1574 km,32.4648291301,-84.980055411
Saint Augustine,FL,United States of America,32084,I,2,1190 km,29.9027338828,-81.3559732922
Daytona Beach,FL,United States of America,32114,III,1,1107 km,29.1940850741,-81.0538073853
Daytona Beach,FL,United States of America,32118,II,1,1108 km,29.2142157822,-81.0046347888
Lady Lake,FL,United States of America,32159,II,1,1100 km,28.923826039,-81.9079858568
Jacksonville,FL,United States of America,32246,II,1,1236 km,30.294322326,-81.518003211
Tallahassee,FL,United States of America,32301,II,1,1340 km,30.427998889,-84.2570887074
Tallahassee,FL,United States of America,32304,III,1,1346 km,30.4537039506,-84.3522353519
Pensacola,FL,United States of America,32501,I,1,1489 km,30.422986651,-87.2259090096
Pensacola,FL,United States of America,32507,II,1,1490 km,30.3471137038,-87.3627326871
Crestview,FL,United States of America,32539,IV,1,1479 km,30.7804750254,-86.4659892704
Fort Walton Beach,FL,United States of America,32548,II,1,1455 km,30.4176129098,-86.6298479841
Apopka,FL,United States of America,32703,II,1,1061 km,28.6559445154,-81.5233950708
Geneva,FL,United States of America,32732,II,1,1060 km,28.745973715,-81.1064054492
Lake Mary,FL,United States of America,32746,II,2,1068 km,28.7633574283,-81.3507349602
Longwood,FL,United States of America,32750,I,1,1062 km,28.7073063942,-81.3503715197
Titusville,FL,United States of America,32796,III,1,1039 km,28.6004313837,-80.8839927335
Orlando,FL,United States of America,32801,II,4,1044 km,28.5415004991,-81.3738008735
Orlando,FL,United States of America,32807,I,1,1044 km,28.5527574725,-81.3016421392
Orlando,FL,United States of America,32815,II,1,1038 km,28.6260902746,-80.6964766687
Orlando,FL,United States of America,32819,I,1,1038 km,28.4555196312,-81.4718510828
Orlando,FL,United States of America,32822,I,1,1037 km,28.4908085726,-81.291057565
Orlando,FL,United States of America,32824,II,1,1027 km,28.3882388932,-81.3482249752
Orlando,FL,United States of America,32827,III,1,1028 km,28.407755624,-81.2873179606
Orlando,FL,United States of America,32836,I,1,1035 km,28.4192200849,-81.5136498554
Orlando,FL,United States of America,32839,II,1,1040 km,28.488272938,-81.4077809709
Cocoa Beach,FL,United States of America,32931,IV,1,1005 km,28.3311574295,-80.6152733934
Rockledge,FL,United States of America,32955,II,2,1003 km,28.2885899347,-80.7826082912
Vero Beach,FL,United States of America,32960,III,1,926 km,27.6415309695,-80.4038525754
Vero Beach,FL,United States of America,32967,II,2,935 km,27.7110572413,-80.4752854978
Hallandale,FL,United States of America,33009,II,2,741 km,25.9854019581,-80.1482318321
Hialeah,FL,United States of America,33010,II,1,727 km,25.8322519175,-80.2792209219
