OID_,SITE_NAME,POINT_X,POINT_Y,Damage
1,Beirut,35.48,33.89,7
2,Kesrawan (A),35.64,33.93,5
3,Deir al-Mukhalles,35.54,33.77,7
4,Sidon,35.37,33.56,9
5,Al-Ghaziye,35.36,33.53,7.5
6,Deir Mar-Elias [LB],35.41,33.56,8
7,Deir al-Hatta,35.45,33.53,9
8,Rumin,35.43,33.52,9
9,Rashaya,35.85,33.43,5.5
10,Deir Kifa,35.4,33.27,9
11,Dibbin,35.67,33.59,8
12,Nabatieh,35.48,33.35,8.5
13,Al-Tahta,35.45,33.36,8
14,Jibshit,35.5,33.36,8
15,Irbil,44,36.19,8
16,Kh. Shaqa,35.62,33.35,8
17,Al-Khiam,35.6,33.31,8
19,Qal'at al-Shuqf,35.52,33.39,7.5
20,Deir Mimas,35.55,33.3,8.5
21,Zeqqieh,35.38,33.29,7.5
22,Metula,35.58,33.26,9
23,Baniyas [IL],35.61,33.24,8
24,Hunin Castle,35.56,33.23,8.5
26,Asbagha (U),35.53,33,8
27,Amba (U),35.53,33.02,8
28,Al-Asban (U),35.5,33.06,8
29,Akbar (U),35.47,33.04,8
30,Mugar (U),35.51,33.04,8
31,Sutli (U),35.4,33.16,8
32,Qana,35.28,33.2,6.5
33,Al-Mays,35.82,33.44,8
34,Bet-Yahun,35.49,33.15,9
35,Ya'tar,35.35,33.1,9
36,Qadas,35.51,33.1,9
37,Malkiah,35.51,33.09,8.5
38,Bint-Jbeil,35.44,33.12,9
39,Ayn Ibli,35.63,33.41,7.5
40,Maroun al-Ras,35.44,33.1,8
41,Rumaysh,35.36,33.07,8
42,Al-Salha,35.46,32.98,8
43,Dibil,35.35,33.11,8.5
44,Deishun,35.43,33.02,8
45,Alma,35.54,33.05,8.5
46,Al-Fara,35.45,32.97,7.5
47,Ras al-Ahmar,35.43,33.05,8
48,Jish,35.43,33.1,9
49,Sabelan,35.28,33.02,8.5
50,Tarshiha,35.26,33.01,6.5
51,Dallata,35.5,33.02,8.5
52,Qaddita,35.46,33,8.5
53,Ein-Zeitun,35.48,32.98,8.5
54,Meiron,35.44,32.98,5.5
55,Safed,35.48,32.96,8.5
56,Al-Rama,35.36,32.93,8.5
57,Tel Hazor,35.56,33.01,8.5
58,Eilabun,35.4,32.83,7.5
59,Mrar,35.4,32.88,7.5
60,Akko,35.07,32.92,8
61,Shefar'am,35.09,32.82,8
62,Migdal,35.49,32.83,7.5
63,Irbid,35.84,32.56,8.5
64,Tiberias,35.54,32.78,9
65,Lubya,35.42,32.77,8.5
66,Kafr Sabt,35.34,32.75,7.5
67,Shadjara,35.45,32.64,7.5
68,Kafr Qana,35.34,32.75,6
69,Reina,35.29,32.71,8
70,Nazareth,35.29,32.7,7
71,Tzemach,35.58,32.7,8
72,Hadatha,35.51,32.72,6.5
73,Ulam,35.32,32.64,6.5
74,Sirin,35.52,32.64,6.5
75,Kh. Baka'a,35.5,32.67,6.5
76,Danna,35.53,32.65,6.5
77,Ma'lun (U),35.28,32.83,8
78,Haifa,35,32.82,6.5
79,Athlit,34.92,32.63,6
81,Arraba,35.22,32.31,5.5
82,Ajja,35.18,32.68,5.5
83,Attil,35.06,32.36,5.5
84,Qaqun,34.98,32.35,6
85,Migdal Yava,34.94,32.07,8
86,Burqa,35.24,32.19,5.5
87,Tubas,35.36,32.32,7.5
88,Ajloon,35.74,32.32,6.5
89,Nablus,35.25,32.21,8.5
90,Jit,35.55,33.08,5.5
91,Zeita,35.19,32.1,6
92,Tripoli,35.83,34.43,5
94,Aleppo,37.15,36.21,5
95,Kilis,37.11,36.71,5
96,Gaziantep/Aintab,37.11,37.33,5
97,Adana,35.31,37,6
98,Payas,36.21,36.75,5
99,Tartus,35.88,34.88,5
100,Damascus,36.29,33.51,7.5
101,Jaffa,34.75,32.05,5
102,Ramla,34.87,31.92,4.5
103,Jerusalem,35.23,31.77,5
104,Abu-Tur,35.24,31.75,5.5
105,Hebron,35.09,31.51,5.5
106,Gaza,34.46,31.5,5
108,Al-Afrish,35.49,33.03,7
109,Kfar Bir'im,35.41,33.04,8
111,Kafr Sumei,35.3,32.99,8.5
112,Deir al-Qamar,35.56,33.69,6
113,Abra,35.41,33.58,8
114,Salihiyah,35.44,33.56,9
115,Bekaa (A),36.14,34,7
116,Hasbaya,35.68,33.38,6
117,Tyre,35.21,33.26,8.5
118,Aitarun,35.5,33.18,7.5
119,Damietta,31.81,31.42,4.5
120,Egypt (A),31.49,28.61,4
121,Cyprus (A),33.1,34.98,4.5
123,Tzipori,35.28,32.75,6
124,Jeresh,35.85,32.28,6
125,Latakia,35.77,35.51,5
126,Alexandreta,36.17,36.58,5
128,St. Catherine,33.97,28.55,4.5
130,Shouff (A),35.54,33.83,5
131,Joun,35.47,33.58,7
132,Deir Mar-Elias [LB],35.47,33.38,8
133,Qal'at al-Shubeibe,35.71,33.25,7.5
134,Jatt,35.32,33.02,5.5
135,I'bllin,35.19,32.82,5
137,Dhiban,35.78,31.49,5
