Order_Date,SITE_NAME,X,Y,Damage,MY_FID,NEAR_FID,NEAR_DIST,NEAR_ANGLE,int
1,Abu-Gosh,698826.9455000004,3519079.2191000003,6.5,1,1,45916.02437057231,74.08393414874952,6.5
2,Abu-Dis,714048.1891000001,3516056.7608,7.5,2,1,33074.02276638041,61.33720774891269,7.5
3,Jordan River (A),739472.5149999997,3523273.1284,8.5,3,1,9809.165867513635,20.78570995072138,8.5
4,Yarmuch Fall,749416.8739999998,3618940.1132999994,7.0,4,1,86642.17284594041,-174.1597318527288,7.0
5,Jaffa,665218.3963,3547317.028999999,5.5,5,1,78910.50840722008,101.72941386855956,5.5
6,Nazareth,714667.2622999996,3620348.0525,7.0,6,1,92177.51144566496,163.49723213757153,7.0
7,Abu-Tlul,678181.3726000004,3452165.187999999,5.0,7,1,103064.84195036118,39.757104974028074,5.0
8,Umm al-Fahm,701027.466,3598985.8795,5.5,8,1,78449.54311738857,149.0269645388128,5.5
9,Um-Juni,739984.0675999997,3620927.2787,7.0,9,1,88416.59438298017,179.58315596156348,7.0
10,El-Hama,748478.9353,3618916.628799999,7.0,10,1,86551.81009498678,-174.78275295711035,7.0
11,El-Arish,572464.1891999999,3443149.4705,4.5,11,1,192318.92430821087,62.70643117059138,4.5
12,Alexandria,203654.09690000024,3455936.2306999993,3.0,12,1,544549.4810756486,80.29541687947147,3.0
13,A-Salt,756877.3727000003,3546996.2885,8.5,13,1,20223.09956194044,-134.22653708684064,8.5
14,Irbid,766656.2478,3606068.6993,7.5,14,1,77303.39755937038,-160.4694240161297,7.5
15,A-Ram,711001.3964999998,3525977.014799999,7.0,15,1,32399.25405450211,79.52021042475882,7.0
16,Be'er Sheva,669515.2084999997,3457566.3467999995,5.0,16,1,104775.2917048591,45.26300459435501,5.0
17,Bira,709941.5012999997,3531501.4783999994,7.5,17,1,32806.61184246239,89.38548436270574,7.5
18,Bet-Alfa,727336.3952000001,3599548.8476,6.0,18,1,68751.25892831363,168.34714923163287,6.0
19,Bet-Jala,705632.7675000001,3510339.5020000003,7.5,19,1,43224.067068118726,60.26957018877987,7.5
20,Bet-Govrin,680254.9058999997,3497666.5204000007,6.0,20,1,71539.57635428618,61.84460145785688,6.0
21,Bet-Gimal,685729.1355,3509962.2839,6.5,21,1,61302.82865036143,69.44153195415166,6.5
22,Bet-HaKerem,707372.256,3518138.6406999994,7.0,22,1,38173.072184766206,69.02047886236154,7.0
23,Bet-Lehem,707572.9743999997,3508159.9563999996,7.5,23,1,42773.273257437235,56.43828119735373,7.5
24,Bet-Likia,694891.8191,3526767.7453000005,6.5,24,1,48183.84053984342,84.22694331752413,6.5
25,Bet-She'an,733000.1244999998,3598569.540100001,6.0,25,1,66738.48992229131,172.9330251478509,6.0
26,Bet-Sorik,702571.2430999996,3521370.5616,7.0,26,1,41679.75940744831,75.60997952013787,7.0
27,Binyamina,682236.6397000002,3598626.1509000007,5.5,27,1,89595.48647391613,138.56505914465677,5.5
28,Batir,701819.8295,3511373.409,7.0,28,1,46053.836463027874,63.788450700367406,7.0
29,Gedera,666612.9902999997,3519616.2893,6.0,29,1,77204.0946656915,81.30504848946411,6.0
30,Gimzoo,683417.8657999998,3533210.5709000006,7.5,30,1,59316.16184256692,91.68761033378328,7.5
31,Jiftlik,732981.0586999998,3558626.4067,7.0,31,1,27857.30042790478,160.8103005401011,7.0
32,Jaljulia,682959.6957999999,3558710.916200001,6.0,32,1,65252.98694637491,114.68372793278392,6.0
33,Jenin,715264.1414999999,3592625.5375999995,6.0,33,1,66066.38878472359,156.65146623527025,6.0
34,Jeser Magmi,740198.1336000003,3612055.229,7.0,34,1,79544.98141528734,179.53666742349148,7.0
35,Jeresh,768424.3448999998,3575039.420600001,7.0,35,1,49650.07249745375,-147.3467913415558,7.0
36,Gesher,739286.2183999997,3610923.6566,7.0,36,1,78449.3982954406,178.83924374239356,7.0
37,Allenby Bridge,739343.2558000005,3528817.5286,8.0,37,1,5026.842163537501,43.82717523102031,8.0
38,Bnot-Ya'akov Bridge,744784.4501,3654336.4199,6.5,38,1,121787.57934722384,-177.6316853568922,6.5
